city,state,country,comments,oid,startip,endip,startnum,endnum,whois_record
*,*,USA,,103826,130.221.0.0,130.222.255.255,2195521536,2195652607,NULL
*,*,USA,,103825,130.218.0.0,130.219.255.255,2195324928,2195455999,NULL
*,*,USA,,103824,130.210.0.0,130.215.255.255,2194800640,2195193855,NULL
*,*,USA,,103823,130.207.0.0,130.207.255.255,2194604032,2194669567,NULL
*,*,USA,,103822,130.199.0.0,130.205.255.255,2194079744,2194538495,NULL
*,*,USA,,103821,130.196.0.0,130.197.255.255,2193883136,2194014207,NULL
*,*,USA,,103820,130.191.0.0,130.191.255.255,2193555456,2193620991,NULL
*,*,USA,,103819,130.189.0.0,130.189.255.255,2193424384,2193489919,NULL
*,*,USA,,103818,130.187.0.0,130.187.255.255,2193293312,2193358847,NULL
*,*,USA,,103817,130.184.0.0,130.184.255.255,2193096704,2193162239,NULL
*,*,USA,,103816,130.181.0.0,130.182.255.255,2192900096,2193031167,NULL
*,*,USA,,103815,130.162.0.0,130.178.255.255,2191654912,2192769023,NULL
*,*,USA,,103814,130.160.0.0,130.160.255.255,2191523840,2191589375,NULL
*,*,USA,,103813,130.156.0.0,130.157.255.255,2191261696,2191392767,NULL
*,*,USA,,103812,130.154.0.0,130.154.255.255,2191130624,2191196159,NULL
*,*,USA,,103811,130.150.0.0,130.152.255.255,2190868480,2191065087,NULL
*,*,USA,,103810,130.137.0.0,130.137.255.255,2190016512,2190082047,NULL
*,*,USA,,103809,130.134.0.0,130.135.255.255,2189819904,2189950975,NULL
*,*,USA,,103808,130.131.0.0,130.132.255.255,2189623296,2189754367,NULL
*,*,USA,,103807,130.126.0.0,130.129.255.255,2189295616,2189557759,NULL
*,*,USA,,103806,130.124.0.0,130.124.255.255,2189164544,2189230079,NULL
*,*,USA,,103805,130.121.0.0,130.122.255.255,2188967936,2189099007,NULL
*,*,USA,,103804,130.117.0.0,130.119.255.255,2188705792,2188902399,NULL
*,*,USA,,103803,130.114.0.0,130.114.255.255,2188509184,2188574719,NULL
*,*,USA,,103802,130.105.0.0,130.111.255.255,2187919360,2188378111,NULL
*,*,USA,,103801,130.103.0.0,130.103.255.255,2187788288,2187853823,NULL
*,*,USA,,103800,130.101.0.0,130.101.255.255,2187657216,2187722751,NULL
*,*,USA,,103799,130.99.0.0,130.99.255.255,2187526144,2187591679,NULL
*,*,USA,,103798,130.96.0.0,130.97.255.255,2187329536,2187460607,NULL
*,*,USA,,103797,130.93.0.0,130.94.255.255,2187132928,2187263999,NULL
*,*,USA,,103796,130.90.0.0,130.91.255.255,2186936320,2187067391,NULL
*,*,USA,,103795,130.85.0.0,130.86.255.255,2186608640,2186739711,NULL
*,*,USA,,103794,130.80.0.0,130.81.255.255,2186280960,2186412031,NULL
*,*,USA,,103793,130.76.0.0,130.77.255.255,2186018816,2186149887,NULL
*,*,USA,,103792,130.74.0.0,130.74.255.255,2185887744,2185953279,NULL
*,*,USA,,103791,130.70.0.0,130.72.255.255,2185625600,2185822207,NULL
*,*,USA,,103790,130.68.0.0,130.68.255.255,2185494528,2185560063,NULL
*,*,USA,,103789,130.64.0.0,130.65.255.255,2185232384,2185363455,NULL
*,*,USA,,103788,130.61.0.0,130.62.255.255,2185035776,2185166847,NULL
*,*,USA,,103787,130.57.0.0,130.58.255.255,2184773632,2184904703,NULL
*,*,USA,,103786,130.55.0.0,130.55.255.255,2184642560,2184708095,NULL
*,*,USA,,103785,130.44.0.0,130.53.255.255,2183921664,2184577023,NULL
*,*,USA,,103784,130.38.0.0,130.42.255.255,2183528448,2183856127,NULL
*,*,USA,,103783,130.35.0.0,130.36.255.255,2183331840,2183462911,NULL
*,*,USA,,103782,130.33.0.0,130.33.255.255,2183200768,2183266303,NULL
*,*,USA,,103781,130.29.0.0,130.31.255.255,2182938624,2183135231,NULL
*,*,USA,,103780,130.27.0.0,130.27.255.255,2182807552,2182873087,NULL
*,*,USA,,103779,130.25.0.0,130.25.255.255,2182676480,2182742015,NULL
*,*,USA,,103778,130.16.0.0,130.23.255.255,2182086656,2182610943,NULL
*,*,USA,,103777,130.13.0.0,130.14.255.255,2181890048,2182021119,NULL
*,*,USA,,103776,130.1.0.0,130.11.255.255,2181103616,2181824511,NULL
*,*,USA,,103775,129.255.0.0,129.255.255.255,2180972544,2181038079,NULL
*,*,USA,,103774,129.250.0.0,129.253.255.255,2180644864,2180907007,NULL
*,*,USA,,103773,129.248.0.0,129.248.255.255,2180513792,2180579327,NULL
*,*,USA,,103772,129.243.0.0,129.246.255.255,2180186112,2180448255,NULL
*,*,USA,,103771,129.235.0.0,129.239.255.255,2179661824,2179989503,NULL
*,*,USA,,103770,129.218.0.0,129.231.255.255,2178547712,2179465215,NULL
*,*,USA,,103769,129.216.0.0,129.216.255.255,2178416640,2178482175,NULL
*,*,USA,,103768,129.209.0.0,129.214.255.255,2177957888,2178351103,NULL
*,*,USA,,103767,129.207.0.0,129.207.255.255,2177826816,2177892351,NULL
*,*,USA,,103766,129.200.0.0,129.204.255.255,2177368064,2177695743,NULL
*,*,USA,,103765,129.196.0.0,129.198.255.255,2177105920,2177302527,NULL
*,*,USA,,103764,129.188.0.0,129.193.255.255,2176581632,2176974847,NULL
*,*,USA,,103763,129.186.0.0,129.186.255.255,2176450560,2176516095,NULL
*,*,USA,,103762,129.179.0.0,129.179.255.255,2175991808,2176057343,NULL
*,*,USA,,103761,129.176.0.0,129.176.255.255,2175795200,2175860735,NULL
*,*,USA,,103760,129.174.0.0,129.174.255.255,2175664128,2175729663,NULL
*,*,USA,,103759,129.170.0.0,129.172.255.255,2175401984,2175598591,NULL
*,*,USA,,103758,129.144.0.0,129.168.255.255,2173698048,2175336447,NULL
*,*,USA,,103757,129.141.0.0,129.141.255.255,2173501440,2173566975,NULL
*,*,USA,,103756,129.137.0.0,129.139.255.255,2173239296,2173435903,NULL
*,*,USA,,103755,129.133.0.0,129.135.255.255,2172977152,2173173759,NULL
*,*,USA,,103754,129.130.0.0,129.131.255.255,2172780544,2172911615,NULL
*,*,USA,,103753,129.126.0.0,129.126.255.255,2172518400,2172583935,NULL
*,*,USA,,103752,129.105.0.0,129.124.255.255,2171142144,2172452863,NULL
*,*,USA,,103751,129.101.0.0,129.101.255.255,2170880000,2170945535,NULL
*,*,USA,,103750,129.98.0.0,129.99.255.255,2170683392,2170814463,NULL
*,*,USA,,103749,129.95.0.0,129.95.255.255,2170486784,2170552319,NULL
*,*,USA,,103748,129.91.0.0,129.93.255.255,2170224640,2170421247,NULL
*,*,USA,,103747,129.89.0.0,129.89.255.255,2170093568,2170159103,NULL
*,,Guyana,Guyana Telephone and Telegraph,25168,208.153.96.0,208.153.99.255,3499712512,3499713535,NULL
*,,Jamaica,Cable Wireless Jamaica,25169,208.138.16.0,208.138.47.255,3498708992,3498717183,NULL
*,NULL,Yugoslavia,,108683,62.108.96.0,62.108.127.255,1047289856,1047298047,NULL
*,NULL,Yemen,,108682,195.94.0.0,195.94.31.255,3277717504,3277725695,NULL
*,NULL,Yemen,,108681,82.114.160.0,82.114.191.255,1383243776,1383251967,NULL
*,NULL,Virgin Islands (British),,108680,204.11.152.0,204.11.159.255,3423311872,3423313919,NULL
*,NULL,Virgin Islands (British),,108679,204.8.64.0,204.8.67.255,3423092736,3423093759,NULL
*,NULL,Virgin Islands (British),,108678,66.248.160.0,66.248.175.255,1123590144,1123594239,NULL
*,NULL,Virgin Islands (British),,108677,66.185.32.0,66.185.47.255,1119428608,1119432703,NULL
*,NULL,Vietnam,,108676,222.252.0.0,222.255.255.255,3741057024,3741319167,NULL
*,NULL,Vietnam,,108675,221.133.0.0,221.133.31.255,3716481024,3716489215,NULL
*,NULL,Vietnam,,108674,221.132.0.0,221.132.63.255,3716415488,3716431871,NULL
*,NULL,Vietnam,,108673,218.100.14.0,218.100.14.255,3663990272,3663990527,NULL
*,NULL,Vietnam,,108672,218.100.10.0,218.100.10.255,3663989248,3663989503,NULL
*,NULL,Vietnam,,108671,210.245.0.0,210.245.127.255,3539271680,3539304447,NULL
*,NULL,Vietnam,,108670,203.210.128.0,203.210.255.255,3419570176,3419602943,NULL
*,NULL,Vietnam,,108669,203.190.160.0,203.190.175.255,3418267648,3418271743,NULL
*,NULL,Vietnam,,108668,203.162.0.0,203.162.255.255,3416391680,3416457215,NULL
*,NULL,Vietnam,,108667,203.161.0.0,203.161.3.255,3416326144,3416327167,NULL
*,NULL,Vietnam,,108666,203.160.96.0,203.160.111.255,3416285184,3416289279,NULL
*,NULL,Vietnam,,108665,203.160.0.0,203.160.1.255,3416260608,3416261119,NULL
*,NULL,Vietnam,,108664,203.119.36.0,203.119.39.255,3413582848,3413583871,NULL
*,NULL,Vietnam,,108663,203.119.8.0,203.119.11.255,3413575680,3413576703,NULL
*,NULL,Vietnam,,108662,203.113.128.0,203.113.191.255,3413213184,3413229567,NULL
*,NULL,Vietnam,,108661,202.151.160.0,202.151.175.255,3398934528,3398938623,NULL
*,NULL,Vietnam,,108660,202.134.16.0,202.134.23.255,3397783552,3397785599,NULL
*,NULL,Vietnam,,108659,202.78.224.0,202.78.231.255,3394166784,3394168831,NULL
*,NULL,Vietnam,,108658,202.60.96.0,202.60.111.255,3392954368,3392958463,NULL
*,NULL,Vietnam,,108657,202.6.96.0,202.6.97.255,3389415424,3389415935,NULL
*,NULL,Vietnam,,108656,202.6.2.0,202.6.2.255,3389391360,3389391615,NULL
*,NULL,Venezuela,,108655,207.191.160.0,207.191.175.255,3485442048,3485446143,NULL
*,NULL,Venezuela,,108654,201.248.0.0,201.249.255.255,3388473344,3388604415,NULL
*,NULL,Venezuela,,108653,201.243.0.0,201.243.255.255,3388145664,3388211199,NULL
*,NULL,Venezuela,,108652,201.222.0.0,201.222.15.255,3386769408,3386773503,NULL
*,NULL,Venezuela,,108651,200.109.0.0,200.109.255.255,3362586624,3362652159,NULL
*,NULL,Venezuela,,108650,200.93.0.0,200.93.127.255,3361538048,3361570815,NULL
*,NULL,Venezuela,,108649,200.90.0.0,200.90.127.255,3361341440,3361374207,NULL
*,NULL,Venezuela,,108648,200.85.64.0,200.85.79.255,3361030144,3361034239,NULL
*,NULL,Venezuela,,108647,200.84.0.0,200.84.255.255,3360948224,3361013759,NULL
*,NULL,Venezuela,,108646,200.82.128.0,200.82.255.255,3360849920,3360882687,NULL
*,NULL,Venezuela,,108645,200.75.96.0,200.75.159.255,3360382976,3360399359,NULL
*,NULL,Venezuela,,108644,200.74.192.0,200.74.239.255,3360342016,3360354303,NULL
*,NULL,Venezuela,,108643,200.71.128.0,200.71.191.255,3360129024,3360145407,NULL
*,NULL,Venezuela,,108642,200.44.0.0,200.44.255.255,3358326784,3358392319,NULL
*,NULL,Venezuela,,108641,200.35.192.0,200.35.239.255,3357786112,3357798399,NULL
*,NULL,Venezuela,,108640,200.35.64.0,200.35.143.255,3357753344,3357773823,NULL
*,NULL,Venezuela,,108639,200.35.0.0,200.35.31.255,3357736960,3357745151,NULL
*,NULL,Venezuela,,108638,200.31.128.0,200.31.159.255,3357507584,3357515775,NULL
*,NULL,Venezuela,,108637,200.14.8.0,200.14.15.255,3356362752,3356364799,NULL
*,NULL,Venezuela,,108636,200.12.193.0,200.12.193.255,3356279040,3356279295,NULL
*,NULL,Venezuela,,108635,200.11.128.0,200.11.255.255,3356196864,3356229631,NULL
*,NULL,Venezuela,,108634,200.10.254.0,200.10.254.255,3356163584,3356163839,NULL
*,NULL,Venezuela,,108633,200.9.210.0,200.9.210.255,3356086784,3356087039,NULL
*,NULL,Venezuela,,108632,200.8.0.0,200.8.31.255,3355967488,3355975679,NULL
*,NULL,Venezuela,,108631,200.7.96.0,200.7.111.255,3355926528,3355930623,NULL
*,NULL,Venezuela,,108630,200.5.128.0,200.5.191.255,3355803648,3355820031,NULL
*,NULL,Venezuela,,108629,200.5.40.0,200.5.47.255,3355781120,3355783167,NULL
*,NULL,Venezuela,,108628,200.5.16.0,200.5.31.255,3355774976,3355779071,NULL
*,NULL,Venezuela,,108627,200.3.0.0,200.3.9.255,3355639808,3355642367,NULL
*,NULL,Venezuela,,108626,200.2.8.0,200.2.15.255,3355576320,3355578367,NULL
*,NULL,Venezuela,,108625,200.1.184.0,200.1.191.255,3355555840,3355557887,NULL
*,NULL,Venezuela,,108624,200.1.162.0,200.1.171.255,3355550208,3355552767,NULL
*,NULL,Venezuela,,108623,200.1.144.0,200.1.151.255,3355545600,3355547647,NULL
*,NULL,Venezuela,,108622,200.1.119.0,200.1.119.255,3355539200,3355539455,NULL
*,NULL,Venezuela,,108621,200.1.8.0,200.1.15.255,3355510784,3355512831,NULL
*,NULL,Venezuela,,108620,200.1.0.0,200.1.5.255,3355508736,3355510271,NULL
*,NULL,Venezuela,,108619,200.0.139.0,200.0.139.255,3355478784,3355479039,NULL
*,NULL,Venezuela,,108618,192.65.152.0,192.65.152.255,3225524224,3225524479,NULL
*,NULL,Venezuela,,108617,167.134.0.0,167.134.255.255,2810576896,2810642431,NULL
*,NULL,Venezuela,,108616,162.122.0.0,162.122.255.255,2725904384,2725969919,NULL
*,NULL,Venezuela,,108615,161.196.0.0,161.196.255.255,2713976832,2714042367,NULL
*,NULL,Venezuela,,108614,159.90.0.0,159.90.255.255,2673475584,2673541119,NULL
*,NULL,Venezuela,,108613,158.160.0.0,158.160.255.255,2661285888,2661351423,NULL
*,NULL,Venezuela,,108612,150.185.0.0,150.189.255.255,2528706560,2529034239,NULL
*,NULL,Venezuela,,108611,129.90.0.0,129.90.255.255,2170159104,2170224639,NULL
*,NULL,Vatican City,,108610,212.77.0.0,212.77.31.255,3561816064,3561824255,NULL
*,NULL,Vanuatu,,108609,202.80.32.0,202.80.47.255,3394248704,3394252799,NULL
*,NULL,Uzbekistan,,108608,217.12.80.0,217.12.95.255,3641462784,3641466879,NULL
*,NULL,Uzbekistan,,108607,213.206.32.0,213.206.63.255,3587055616,3587063807,NULL
*,NULL,Uzbekistan,,108606,195.158.0.0,195.158.31.255,3281911808,3281919999,NULL
*,NULL,Uzbekistan,,108605,85.117.224.0,85.117.255.255,1433788416,1433796607,NULL
*,NULL,Uzbekistan,,108604,84.54.64.0,84.54.127.255,1412841472,1412857855,NULL
*,NULL,Uzbekistan,,108603,83.69.128.0,83.69.159.255,1397063680,1397071871,NULL
*,NULL,Uzbekistan,,108602,82.215.64.0,82.215.127.255,1389838336,1389854719,NULL
*,NULL,Uzbekistan,,108601,81.95.224.0,81.95.239.255,1365237760,1365241855,NULL
*,NULL,Uzbekistan,,108600,80.80.208.0,80.80.223.255,1347473408,1347477503,NULL
*,NULL,Uruguay,,108599,200.125.0.0,200.125.63.255,3363635200,3363651583,NULL
*,NULL,Uruguay,,108598,200.124.192.0,200.124.207.255,3363618816,3363622911,NULL
*,NULL,Uruguay,,108597,200.115.64.0,200.115.79.255,3362996224,3363000319,NULL
*,NULL,Uruguay,,108596,200.108.192.0,200.108.255.255,3362570240,3362586623,NULL
Lincoln,NE,USA,Lincoln Telephone Company,25183,216.170.0.0,216.170.63.255,3635019776,3635036159,NULL
*,*,USA,,103746,129.79.0.0,129.87.255.255,2169438208,2170028031,NULL
*,*,USA,,103745,129.71.0.0,129.77.255.255,2168913920,2169372671,NULL
*,*,USA,,103744,129.68.0.0,129.68.255.255,2168717312,2168782847,NULL
*,*,USA,,103743,129.61.0.0,129.66.255.255,2168258560,2168651775,NULL
*,*,USA,,103742,129.57.0.0,129.59.255.255,2167996416,2168193023,NULL
*,*,USA,,103741,129.46.0.0,129.55.255.255,2167275520,2167930879,NULL
*,*,USA,,103740,129.32.0.0,129.44.255.255,2166358016,2167209983,NULL
*,*,USA,,103739,129.28.0.0,129.30.255.255,2166095872,2166292479,NULL
*,*,USA,,103738,129.21.0.0,129.25.255.255,2165637120,2165964799,NULL
*,*,USA,,103737,129.19.0.0,129.19.255.255,2165506048,2165571583,NULL
*,*,USA,,103736,129.17.0.0,129.17.255.255,2165374976,2165440511,NULL
*,*,USA,,103735,129.14.0.0,129.15.255.255,2165178368,2165309439,NULL
*,*,USA,,103734,129.1.0.0,129.10.255.255,2164326400,2164981759,NULL
*,*,USA,,103733,128.251.0.0,128.255.255.255,2163933184,2164260863,NULL
*,*,USA,,103732,128.247.0.0,128.249.255.255,2163671040,2163867647,NULL
*,*,USA,,103731,128.244.0.0,128.245.255.255,2163474432,2163605503,NULL
*,*,USA,,103730,128.241.0.0,128.242.255.255,2163277824,2163408895,NULL
*,*,USA,,103729,128.235.0.0,128.239.255.255,2162884608,2163212287,NULL
*,*,USA,,103728,128.215.0.0,128.231.255.255,2161573888,2162687999,NULL
*,*,USA,,103727,128.205.0.0,128.213.255.255,2160918528,2161508351,NULL
*,*,USA,,103726,128.202.0.0,128.203.255.255,2160721920,2160852991,NULL
*,*,USA,,103725,128.200.0.0,128.200.255.255,2160590848,2160656383,NULL
Hong Kong,,China,reach.com in Hong Kong,25177,134.159.0.0,134.159.255.255,2258567168,2258632703,NULL
*,NULL,Uruguay,,108595,200.71.0.0,200.71.15.255,3360096256,3360100351,NULL
*,NULL,Uruguay,,108594,200.58.128.0,200.58.159.255,3359277056,3359285247,NULL
*,NULL,Uruguay,,108593,200.40.0.0,200.40.255.255,3358064640,3358130175,NULL
*,NULL,Uruguay,,108592,200.12.155.0,200.12.156.255,3356269312,3356269823,NULL
*,NULL,Uruguay,,108591,200.2.32.0,200.2.63.255,3355582464,3355590655,NULL
*,NULL,Uruguay,,108590,200.0.204.0,200.0.207.255,3355495424,3355496447,NULL
*,NULL,Uruguay,,108589,192.146.237.0,192.146.237.255,3230854400,3230854655,NULL
*,NULL,Uruguay,,108588,164.73.0.0,164.73.255.255,2756247552,2756313087,NULL
*,*,USA,,108587,216.255.240.0,216.255.255.255,3640651776,3640655871,NULL
*,*,USA,,108586,216.255.192.0,216.255.223.255,3640639488,3640647679,NULL
*,*,USA,,108585,216.254.224.0,216.255.175.255,3640582144,3640635391,NULL
*,*,USA,,108584,216.252.128.0,216.254.127.255,3640426496,3640557567,NULL
*,*,USA,,108583,216.251.160.0,216.252.63.255,3640369152,3640410111,NULL
*,*,USA,,108582,216.250.160.0,216.251.127.255,3640303616,3640360959,NULL
*,*,USA,,108581,216.250.112.0,216.250.143.255,3640291328,3640299519,NULL
*,*,USA,,108580,216.249.64.0,216.250.95.255,3640213504,3640287231,NULL
*,*,USA,,108579,216.249.16.0,216.249.31.255,3640201216,3640205311,NULL
*,*,USA,,108578,216.248.240.0,216.248.255.255,3640193024,3640197119,NULL
*,*,USA,,108577,216.247.0.0,216.248.223.255,3640066048,3640188927,NULL
*,*,USA,,108576,216.246.192.0,216.246.223.255,3640049664,3640057855,NULL
*,*,USA,,108575,216.245.0.0,216.245.239.255,3639934976,3639996415,NULL
*,*,USA,,108574,216.243.96.0,216.244.127.255,3639828480,3639902207,NULL
*,*,USA,,108573,216.241.240.0,216.243.79.255,3639734272,3639824383,NULL
*,*,USA,,108572,216.241.32.0,216.241.223.255,3639681024,3639730175,NULL
*,*,USA,,108571,216.240.240.0,216.240.255.255,3639668736,3639672831,NULL
*,*,USA,,108570,216.240.208.0,216.240.223.255,3639660544,3639664639,NULL
*,*,USA,,108569,216.240.16.0,216.240.191.255,3639611392,3639656447,NULL
*,*,USA,,108568,216.239.96.0,216.239.255.255,3639566336,3639607295,NULL
*,*,USA,,108567,216.237.0.0,216.239.63.255,3639410688,3639558143,NULL
*,*,USA,,108566,216.236.192.0,216.236.239.255,3639394304,3639406591,NULL
*,*,USA,,108565,216.235.16.0,216.236.175.255,3639283712,3639390207,NULL
*,*,USA,,108564,216.234.192.0,216.234.255.255,3639263232,3639279615,NULL
*,*,USA,,108563,216.234.64.0,216.234.159.255,3639230464,3639255039,NULL
*,*,USA,,108562,216.233.0.0,216.234.31.255,3639148544,3639222271,NULL
*,*,USA,,108561,216.230.160.0,216.231.255.255,3638992896,3639083007,NULL
*,*,USA,,108560,216.228.224.0,216.230.95.255,3638878208,3638976511,NULL
*,*,USA,,108559,216.228.0.0,216.228.207.255,3638820864,3638874111,NULL
*,*,USA,,108558,216.227.224.0,216.227.239.255,3638812672,3638816767,NULL
*,*,USA,,108557,216.226.64.0,216.227.207.255,3638706176,3638808575,NULL
*,*,USA,,108556,216.224.128.0,216.226.31.255,3638591488,3638697983,NULL
*,*,USA,,108555,216.223.160.0,216.224.111.255,3638534144,3638587391,NULL
*,*,USA,,108554,216.222.192.0,216.223.63.255,3638476800,3638509567,NULL
*,*,USA,,108553,216.222.160.0,216.222.175.255,3638468608,3638472703,NULL
*,*,USA,,108552,216.221.224.0,216.222.143.255,3638419456,3638464511,NULL
*,*,USA,,108551,216.221.96.0,216.221.191.255,3638386688,3638411263,NULL
*,*,USA,,108550,216.220.64.0,216.221.31.255,3638312960,3638370303,NULL
*,*,USA,,108549,216.219.128.0,216.220.31.255,3638263808,3638304767,NULL
*,*,USA,,108548,216.219.96.0,216.219.111.255,3638255616,3638259711,NULL
*,*,USA,,108547,216.218.128.0,216.219.79.255,3638198272,3638251519,NULL
*,*,USA,,108546,216.218.64.0,216.218.111.255,3638181888,3638194175,NULL
*,*,USA,,108545,216.215.128.0,216.217.255.255,3638001664,3638165503,NULL
*,*,USA,,108544,216.212.0.0,216.214.255.255,3637772288,3637968895,NULL
*,*,USA,,108543,216.211.160.0,216.211.239.255,3637747712,3637768191,NULL
*,*,USA,,108542,216.211.128.0,216.211.143.255,3637739520,3637743615,NULL
